0ft,1,49:14:52:B7:26:EF,LightBlue,1388521278,561047.1388521289,931287.3069894656
5ft,2,49:14:52:B7:26:EF,LightBlue,1388521313,422725.1388521324,815953.3069894656
10ft,3,49:14:52:B7:26:EF,LightBlue,1388521348,963991.1388521358,780536.3069894656
15ft,4,49:14:52:B7:26:EF,LightBlue,1388521383,193059.1388521394,573294.3069894656
20ft,5,49:14:52:B7:26:EF,LightBlue,1388521420,805021.1388521421,523087.3069894656
Unknown,6,49:14:52:B7:26:EF,LightBlue,1388521429,655587.1388521432,902327.000036
25ft,7,49:14:52:B7:26:EF,LightBlue,1388521463,313484.1388521463,948587.3069894656
Unknown,8,49:14:52:B7:26:EF,LightBlue,1388521471,915437.1388521475,156725.000036
30ft,9,49:14:52:B7:26:EF,LightBlue,1388521515,769006.1388521518,906363.3069894656
40ft,10,49:14:52:B7:26:EF,LightBlue,1388521601,868065.1388521601,868065.3069894656
