Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,5C:F0:2B:F8:85:48,LightBlue,597,1389825297.976457,1389825309.330638
5ft,2,5C:F0:2B:F8:85:48,LightBlue,655,1389825332.989138,1389825344.525386
10ft,3,5C:F0:2B:F8:85:48,LightBlue,607,1389825371.705266,1389825383.667574
15ft,4,5C:F0:2B:F8:85:48,LightBlue,554,1389825406.654992,1389825417.485529
20ft,5,5C:F0:2B:F8:85:48,LightBlue,414,1389825441.617715,1389825453.413012
25ft,6,5C:F0:2B:F8:85:48,LightBlue,395,1389825480.942924,1389825491.520088
30ft,7,46:20:1E:4D:69:7E,LightBlue,385,1389825517.992875,1389825529.581154
35ft,8,46:20:1E:4D:69:7E,LightBlue,363,1389825557.833142,1389825568.960380
40ft,9,46:20:1E:4D:69:7E,LightBlue,212,1389825717.725047,1389825729.030288
45ft,10,46:20:1E:4D:69:7E,LightBlue,59,1389825754.233813,1389825766.081989
50ft,11,46:20:1E:4D:69:7E,LightBlue,180,1389825791.596498,1389825804.324802
55ft,12,46:20:1E:4D:69:7E,LightBlue,228,1389825891.062365,1389825903.636613
60ft,13,46:20:1E:4D:69:7E,LightBlue,254,1389825944.487263,1389825957.693908
65ft,14,46:20:1E:4D:69:7E,LightBlue,199,1389826163.762445,1389826175.783688
70ft,15,46:20:1E:4D:69:7E,LightBlue,62,1389826208.613978,1389826220.630240
75ft,16,46:20:1E:4D:69:7E,LightBlue,36,1389826250.400240,1389826262.224475
80ft,17,46:20:1E:4D:69:7E,LightBlue,81,1389826306.601987,1389826318.975260
