Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
Unknown,1,51:FC:6C:5D:13:B4,LightBlue,1000,1389736223.037638,1389736259.930428
5ft,2,51:FC:6C:5D:13:B4,LightBlue,840,1389736311.496786,1389736343.666169
10ft,3,51:FC:6C:5D:13:B4,LightBlue,956,1389736381.081054,1389736418.532972
15ft,4,51:FC:6C:5D:13:B4,LightBlue,765,1389736466.061542,1389736497.531144
20ft,5,51:FC:6C:5D:13:B4,LightBlue,65,1389736544.702151,1389736556.024374
20ft(redo),6,59:BB:29:7F:7E:99,LightBlue,780,1389736684.162850,1389736718.017610
25ft,7,59:BB:29:7F:7E:99,LightBlue,902,1389736757.610997,1389736799.159662
30ft,8,59:BB:29:7F:7E:99,LightBlue,686,1389736879.205270,1389736911.534368
35ft,9,59:BB:29:7F:7E:99,LightBlue,635,1389736959.471109,1389736995.056888
~75ft,10,59:BB:29:7F:7E:99,LightBlue,554,1389737099.506611,1389737135.754911
