Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,6D:26:52:4E:3F:91,LightBlue,337,1389822249.749014,1389822261.377176
5ft,2,6D:26:52:4E:3F:91,LightBlue,393,1389822300.246249,1389822313.600691
10ft,3,6D:26:52:4E:3F:91,LightBlue,322,1389822347.000186,1389822358.800464
15ft,4,6D:26:52:4E:3F:91,LightBlue,349,1389822396.868451,1389822407.921651
20ft,5,6D:26:52:4E:3F:91,LightBlue,283,1389822457.104810,1389822470.038212
25ft,6,6D:26:52:4E:3F:91,LightBlue,305,1389822503.207683,1389822516.977146
30ft,7,6D:26:52:4E:3F:91,LightBlue,791,1389822553.135950,1389822579.309697
30ft(redo),8,6D:26:52:4E:3F:91,LightBlue,274,1389822618.211820,1389822631.656472
35ft,9,6D:26:52:4E:3F:91,LightBlue,234,1389822669.997290,1389822684.054807
~75ft,10,6D:26:52:4E:3F:91,LightBlue,71,1389822740.966789,1389822752.495006
