Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,5C:F0:2B:F8:85:48,LightBlue,274,1389824122.110578,1389824130.706334
0ft(redo),2,5C:F0:2B:F8:85:48,LightBlue,196,1389824179.678550,1389824187.473407
5ft,3,5C:F0:2B:F8:85:48,LightBlue,130,1389824222.701119,1389824229.523847
10ft,4,5C:F0:2B:F8:85:48,LightBlue,159,1389824271.519312,1389824275.978864
15ft,5,5C:F0:2B:F8:85:48,LightBlue,143,1389824319.777482,1389824326.247207
20ft,6,5C:F0:2B:F8:85:48,LightBlue,167,1389824368.566740,1389824372.765208
25ft,7,5C:F0:2B:F8:85:48,LightBlue,102,1389824420.112096,1389824426.057582
30ft,8,5C:F0:2B:F8:85:48,LightBlue,172,1389824487.271322,1389824494.069947
35ft,9,5C:F0:2B:F8:85:48,LightBlue,91,1389824535.534813,1389824540.908350
~75ft,10,5C:F0:2B:F8:85:48,LightBlue,86,1389824608.486814,1389824613.792362
