Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,7D:A3:D1:AB:3C:AA,LightBlue,624,1391972001.863444,1391972012.977641
0ft,2,7D:A3:D1:AB:3C:AA,LightBlue,577,1391972031.975643,1391972042.906850
10ft,3,7D:A3:D1:AB:3C:AA,LightBlue,627,1391972061.625822,1391972073.799012
10ft,4,7D:A3:D1:AB:3C:AA,LightBlue,590,1391972087.522517,1391972098.873719
20ft,5,7D:A3:D1:AB:3C:AA,LightBlue,371,1391972141.166103,1391972152.515323
20ft,6,7D:A3:D1:AB:3C:AA,LightBlue,206,1391972163.020897,1391972174.027592
30ft,7,7D:A3:D1:AB:3C:AA,LightBlue,223,1391972211.666483,1391972222.862668
30ft,8,7D:A3:D1:AB:3C:AA,LightBlue,179,1391972234.080844,1391972244.870981
40ft,9,7D:A3:D1:AB:3C:AA,LightBlue,37,1391972325.348482,1391972335.418541
40ft,10,7D:A3:D1:AB:3C:AA,LightBlue,18,1391972356.026725,1391972361.950357
50ft,11,5D:AB:6C:10:C0:0E,LightBlue,1,1391972395.847941,1391972395.847941
50ft,12,5D:AB:6C:10:C0:0E,LightBlue,12,1391972414.266904,1391972422.107738
60ft,13,5D:AB:6C:10:C0:0E,LightBlue,1,1391972730.174357,1391972730.174357
60ft,14,5D:AB:6C:10:C0:0E,LightBlue,0,1391972730.174357,1391972730.174357
