Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,5D:AB:6C:10:C0:0E,LightBlue,625,1391973240.042405,1391973251.568552
0ft,2,5D:AB:6C:10:C0:0E,LightBlue,615,1391973260.783526,1391973272.088615
10ft,3,5D:AB:6C:10:C0:0E,LightBlue,505,1391973288.424443,1391973299.555660
10ft,4,5D:AB:6C:10:C0:0E,LightBlue,571,1391973308.497586,1391973319.500781
20ft,5,5D:AB:6C:10:C0:0E,LightBlue,324,1391973358.620924,1391973369.371102
20ft,6,5D:AB:6C:10:C0:0E,LightBlue,374,1391973379.464134,1391973390.590348
30ft,7,5D:AB:6C:10:C0:0E,LightBlue,119,1391973421.933655,1391973432.701835
30ft,8,5D:AB:6C:10:C0:0E,LightBlue,210,1391973443.459939,1391973454.478118
40ft,9,5D:AB:6C:10:C0:0E,LightBlue,8,1391973556.742994,1391973559.510304
40ft,10,5D:AB:6C:10:C0:0E,LightBlue,18,1391973578.293290,1391973587.590288
50ft,11,00:00:00:00:00:00,no-device-seen,0,0.0,0.0
50ft,12,00:00:00:00:00:00,no-device-seen,0,0.0,0.0
60ft,13,00:00:00:00:00:00,no-device-seen,0,0.0,0.0
60ft,14,00:00:00:00:00:00,no-device-seen,0,0.0,0.0
